,PassengerId,Survived,Age,SibSp,Parch,Fare,Male,Female,Alone,First_class,Second_class,Third_class,Cherbourg,Queenstown,Southampton,Miss
0,174,0,0.2586076903744659,0.0,0.0,0.015468569817999833,1,0,1,0,0,1,0,0,1,0
1,514,1,0.6732847449107816,0.125,0.0,0.11594107850967697,0,1,0,1,0,0,1,0,0,0
2,802,1,0.38426740387031916,0.125,0.16666666666666666,0.05123658772523604,0,1,0,0,1,0,0,0,1,0
3,754,0,0.2837396330736366,0.0,0.0,0.015411575213749284,1,0,1,0,0,1,0,0,1,0
4,543,0,0.13294797687861273,0.5,0.3333333333333333,0.06104473451835265,0,1,0,0,0,1,0,0,1,1
5,62,1,0.4722292033174164,0.0,0.0,0.15614960068643363,0,1,1,1,0,0,0,0,0,1
6,64,0,0.04498617743151546,0.375,0.3333333333333333,0.05445717323939373,1,0,0,0,0,1,0,0,1,0
7,783,0,0.35913546117114853,0.0,0.0,0.05855610025741261,1,0,1,1,0,0,0,0,1,0
8,813,0,0.43453128926866047,0.0,0.0,0.020494635090094415,1,0,1,0,1,0,0,0,1,0
9,389,0,0.36792055349407915,0.0,0.0,0.015086393670319786,1,0,1,0,0,1,0,1,0,0
10,157,1,0.19577783362653933,0.0,0.0,0.015094396337354966,0,1,1,0,0,1,0,1,0,1
11,109,0,0.4722292033174164,0.0,0.0,0.015411575213749284,1,0,1,0,0,1,0,0,1,0
12,852,0,0.9246041719024881,0.0,0.0,0.015175789316712771,1,0,1,0,0,1,0,0,1,0
13,886,0,0.4847951746670017,0.0,0.8333333333333334,0.056848213999904744,0,1,0,0,0,1,0,1,0,0
14,248,1,0.2963056044232219,0.0,0.3333333333333333,0.028302115124416098,0,1,0,0,1,0,0,0,1,0
15,370,1,0.2963056044232219,0.0,0.0,0.13526459159462315,0,1,1,1,0,0,1,0,0,0
16,357,1,0.2711736617240513,0.0,0.16666666666666666,0.10735285047192313,0,1,0,1,0,0,0,0,1,1
17,510,1,0.32143754712239253,0.0,0.0,0.11027245763075773,1,0,1,0,0,1,0,0,1,0
18,76,0,0.3088715757728072,0.0,0.0,0.014931805565640218,1,0,1,0,0,1,0,0,1,0
19,325,0,0.36792055349407915,1.0,0.3333333333333333,0.13575255909676823,1,0,0,0,0,1,0,0,1,0
20,171,0,0.7612465443578789,0.0,0.0,0.06538764528744409,1,0,1,1,0,0,0,0,1,0
21,632,0,0.6355868308620256,0.0,0.0,0.013768881414528002,1,0,1,0,0,1,0,0,1,0
22,441,1,0.5601910027645137,0.125,0.16666666666666666,0.05123658772523604,0,1,0,0,1,0,0,0,1,0
23,124,1,0.40311636089469716,0.0,0.0,0.025374310111545468,0,1,1,0,1,0,0,0,1,1
24,393,0,0.3465694898215632,0.25,0.0,0.015468569817999833,1,0,0,0,0,1,0,0,1,0
25,734,0,0.2837396330736366,0.0,0.0,0.025374310111545468,1,0,1,0,1,0,0,0,1,0
26,435,0,0.6230208595124404,0.125,0.0,0.1091095334796455,1,0,0,1,0,0,0,0,1,0
27,262,1,0.032420206081930136,0.5,0.3333333333333333,0.061264319894317944,1,0,0,0,0,1,0,0,1,0
28,663,0,0.5853229454636844,0.0,0.0,0.04994347384455151,1,0,1,1,0,0,0,0,1,0
29,89,1,0.2837396330736366,0.375,0.3333333333333333,0.5133418122566505,0,1,0,1,0,0,0,0,1,1
30,404,0,0.3465694898215632,0.125,0.0,0.030937139635999665,1,0,0,0,0,1,0,0,1,0
31,112,0,0.17692887660216136,0.125,0.0,0.028212719478023115,0,1,0,0,0,1,1,0,0,1
32,645,1,0.004146770545363157,0.25,0.16666666666666666,0.03758969818624431,0,1,0,0,0,1,1,0,0,1
33,33,1,0.36792055349407915,0.0,0.0,0.015126992566498259,0,1,1,0,0,1,0,1,0,1
34,538,1,0.37170143252073384,0.0,0.0,0.20772776566317125,0,1,1,1,0,0,1,0,0,1
35,238,1,0.09525006282985675,0.0,0.3333333333333333,0.05123658772523604,0,1,0,0,1,0,0,0,1,1
36,42,0,0.33400351847197784,0.125,0.0,0.04098927018018883,0,1,0,0,1,0,0,0,1,0
37,827,0,0.36792055349407915,0.0,0.0,0.11027245763075773,1,0,1,0,0,1,0,0,1,0
38,850,1,0.36792055349407915,0.125,0.0,0.17391981561855152,0,1,0,1,0,0,1,0,0,0
39,775,1,0.6732847449107816,0.125,0.5,0.04489301019734967,0,1,0,0,1,0,0,0,1,0
40,340,0,0.5601910027645137,0.0,0.0,0.06929138530460492,1,0,1,1,0,0,0,0,1,0
41,657,0,0.36792055349407915,0.0,0.0,0.015411575213749284,1,0,1,0,0,1,0,0,1,0
42,299,1,0.36792055349407915,0.0,0.0,0.05953203526170282,1,0,1,1,0,0,0,0,1,0
43,539,0,0.36792055349407915,0.0,0.0,0.028302115124416098,1,0,1,0,0,1,0,0,1,0
44,211,0,0.2963056044232219,0.0,0.0,0.013760683560491965,1,0,1,0,0,1,0,0,1,0
45,608,1,0.33400351847197784,0.0,0.0,0.05953203526170282,1,0,1,1,0,0,0,0,1,0
46,858,1,0.6355868308620256,0.0,0.0,0.051822148727810165,1,0,1,1,0,0,0,0,1,0
47,733,0,0.36792055349407915,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0
48,167,1,0.36792055349407915,0.0,0.16666666666666666,0.10735285047192313,0,1,0,1,0,0,0,0,1,0
49,333,0,0.4722292033174164,0.0,0.16666666666666666,0.2995388511917728,1,0,0,1,0,0,0,0,1,0
50,305,0,0.36792055349407915,0.0,0.0,0.015712553569072387,1,0,1,0,0,1,0,0,1,0
51,453,0,0.37170143252073384,0.0,0.0,0.05416439273810667,1,0,1,1,0,0,1,0,0,0
52,192,0,0.23347574767529528,0.0,0.0,0.025374310111545468,1,0,1,0,1,0,0,0,1,0
53,521,1,0.37170143252073384,0.0,0.0,0.18249984580226933,0,1,1,1,0,0,0,0,1,1
54,526,0,0.5036441316913798,0.0,0.0,0.015126992566498259,1,0,1,0,0,1,0,1,0,0
55,57,1,0.2586076903744659,0.0,0.0,0.020494635090094415,0,1,1,0,1,0,0,0,1,1
56,439,0,0.7989444584066349,0.125,0.6666666666666666,0.5133418122566505,1,0,0,1,0,0,0,0,1,0
57,642,1,0.2963056044232219,0.0,0.0,0.13526459159462315,0,1,1,1,0,0,1,0,0,0
58,344,0,0.3088715757728072,0.0,0.0,0.025374310111545468,1,0,1,0,1,0,0,0,1,0
59,451,0,0.4470972606182458,0.125,0.3333333333333333,0.05416439273810667,1,0,0,0,1,0,0,0,1,0
60,597,1,0.36792055349407915,0.0,0.0,0.06441171028315387,0,1,1,0,1,0,0,0,1,1
61,673,0,0.8743402865041467,0.0,0.0,0.020494635090094415,1,0,1,0,1,0,0,0,1,0
62,375,0,0.032420206081930136,0.375,0.16666666666666666,0.04113566043083236,0,1,0,0,0,1,0,0,1,1
63,31,0,0.4973611460165871,0.0,0.0,0.05410739813385612,1,0,1,1,0,0,1,0,0,0
64,838,0,0.36792055349407915,0.0,0.0,0.015712553569072387,1,0,1,0,0,1,0,0,1,0
65,509,0,0.3465694898215632,0.0,0.0,0.04396587194327397,1,0,1,0,0,1,0,0,1,0
66,158,0,0.37170143252073384,0.0,0.0,0.015712553569072387,1,0,1,0,0,1,0,0,1,0
67,99,1,0.42196531791907516,0.0,0.16666666666666666,0.04489301019734967,0,1,0,0,1,0,0,0,1,0
68,372,0,0.22090977632570996,0.125,0.0,0.012678957201736696,1,0,0,0,0,1,0,0,1,0
69,170,0,0.3465694898215632,0.0,0.0,0.11027245763075773,1,0,1,0,0,1,0,0,1,0
70,891,0,0.39683337521990447,0.0,0.0,0.015126992566498259,1,0,1,0,0,1,0,1,0,0
71,29,1,0.36792055349407915,0.0,0.0,0.01537917417160685,0,1,1,0,0,1,0,1,0,1
72,311,1,0.2963056044232219,0.0,0.0,0.16231419173453318,0,1,1,1,0,0,1,0,0,1
73,341,1,0.01985423473234481,0.125,0.16666666666666666,0.050748620223090936,1,0,0,0,1,0,0,0,1,0
74,845,0,0.20834380497612465,0.0,0.0,0.016908073949327893,1,0,1,0,0,1,0,0,1,0
75,8,0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,1,0,0,0,0,1,0,0,1,0
